. z..6.benzylidene.3.hydroxymethyl.1.4.dimethyl.3.methylsulfanylpiperazine.2.5.dione
....oryzanaphthopyran b
....oryzanaphthopyran c
....oryzanthrone b
....penicamide a
....penicilliode b
....peniciphenalenin f
....penilactone c
....peniphenone a
....pericosine a
....pericosine do
....pestalachloride e
....pestalachloride f
....pestaloxazine a
....petchioic a
....petchioic b
....phomoidride b
....phomoidride b.1..
....pinoresinol glucoside
....placodiolic acid
....pratensilin a
....pratensilin b
....pratensilin c
....preuisolactone a
....quinic acid
....rel.acora.2.4.14..8.trien.15.oic acid
....retigeranin b
....sanguinolignan a
....sanguinolignan b
....sanguinolignan c
....sanguinolignan d
....solenolide a
....solenopsin a
....somaliensene b
....spiculisporic acid
....spirocochlealactone a
....spirocochlealactone b
....spirocochlealactone c
....streptophenazine m
....streptophenazine n
....streptophenazine o
....syn.2.isobutyl.4.methylazetidine.2.4.dicarboxylic acid
....syringaresinol o.o.apos..bis.beta.d.glucoside.
....taxifolin 3.o.beta.d.xylopyranoside
....tersone a
....tersone b
....tersone c
....tersone d
....tersone e
....threo.isodihomocitric acid
....trans.carveol glucoside
....trans.chrysanthemic acid
....trans.clavicipitic acid
....trichodermadione a
....trichothecrotocin h
....trichothecrotocin i
....trieffusol d
....ureidoglycolic acid
....usnic acid
....usnic acid.2..
....variculatriene b
....variecolortin c
....vernolic acid
....versicalin a
....versicolamide b
....versiorcinol a
....versiorcinol b
....versiorcinol c
....virescenoside n
....xylariamide a
....xylaridine c
....xylaridine d
....zwittermicin a
.1.apos.e.3.apos.e..5..3.3.dimethyloxiran.2.yl..3.methylhexa.1.3.dienyl.quinolinone b
.1.apos.r..nepetalic acid
.1.apos.s..7.chloroaverantin.1.apos..butyl ether
.1.apos.s..7.hydroxy.3..1.apos..hydroxy.3.apos..oxobutyl.chromone.5.carboxylic acid
.1.apos.s.2.apos.r.3.apos.r.4.apos.r.5.apos.r..decilorene b
.1.apos.s.2.apos.s.3.apos.s.4.apos.r.5.apos.r..andicoquinone b
.1.apos.s.5.apos.s.6.apos.s..5.apos..6.apos..dihydroxy.2.apos..6.apos..dimethyl.3.apos...2.apos..apos..oxopentyl.cyclohex.2.apos..en.1.apos..yl 2.4.dihydroxy.6.methylbenzoate
.1.apos.x.2s..2..1.2.dihydroxy.1.methylethyl..2.3.dihydro.7h.furo.3.2.g..1.benzopyran.7.one 2.apos..glucoside
.1.apos.z..dechloromycorrhizin a
.1.3.diphenylpropoxy.sulfonic acid
.1.4.alpha.d.glucosyl..n..l.tyrosyl residue
.1.5.dimethyl.3.oxo.2.phenyl.2.3.dihydro.1h.pyrazol.4.yl..4...6.methoxypyridazin.3.yl.sulfamoyl.anilino.methanesulfonic acid
.1.8.dihydroxy.9.10.dioxo.9.10.dihydroanthracen.2.yl.acetic acid
.1.9.9b.trihydroxy.6.6.9a.trimethyl.3.5.5a.7.8.9.hexahydro.1h.benzo.e..2.benzofuran.5.yl. hexanoate
.1..gt.3..alpha.d.mannooligosaccharide derivative
.1..gt.4..3.6.bis.phospho..alpha.d.glucan polyanion
.1..gt.4..6.phospho.alpha.d.glucan polyanion
.1.acetyloxy.3.hydroxy.6.8a.dimethyl.7.oxo.3.propan.2.yl.2.3a.4.8.tetrahydro.1h.azulen.4.yl. 4.hydroxybenzoate
.1.hexadecanoyloxy.3.phosphonooxypropan.2.yl. octadec.9.enoate
.1.hydroxy.2.imidazo.1.2.a.pyridin.3.ylethane.1.1.diyl.bis.phosphonic acid.
.1.hydroxycyclohexyl.acetic acid
.1.hydroxycyclopentyl.phenylacetic acid
.1.methylsulfonylpiperidin.4.yl. n...2s..4.methyl.1.oxo.1....2s..1.oxo.3...3s..2.oxopyrrolidin.3.yl.propan.2.yl.amino.pentan.2.yl.carbamate
.1.phenyl.1h.pyrazol.4.yl.boronic acid
.10.11.z..syn.13.hydroxypretenellin b
.10.acetyloxy.8.8.dimethyl.2.oxo.9.10.dihydropyrano.2.3.f.chromen.9.yl. 3.methylbut.2.enoate
.10.hydroxy.1.6.dimethyl.9.propan.2.yl.5.12.dioxatricyclo.9.1.0.04.6.dodecan.8.yl. .e..3.phenylprop.2.enoate
.10.hydroxy.3.methyl.8.12.dimethylidene.6.13.dioxo.4.14.dioxatricyclo.9.3.0.03.5.tetradecan.9.yl. .z..2.methylbut.2.enoate
.10as..10.10a.dihydrophenazine.1.carboxylic acid
.10e..octadecenoic acid
.10e.12e..9.14.dioxo.10.12.octadecadienoic acid
.10e.12e.14e..9.hydroxy.16.oxo.10.12.14.octadecatrienoic acid
.10e.12z..9.hydroperoxy.10.12.octadecadienoic acid
.10e.12z..carnemycin b
.10e.12z..octadecadienoic acid
.10e.12z.15z..9.hydroperoxyoctadeca.10.12.15.trienoic acid
.10e.15z..9.12.13.trihydroxy.10.15.octadecadienoic acid
.10r..10.hydroxyundecanoic acid
.10r..hydroxy..11s.12s..epoxyicosa..5z.8z.14z..trienoic acid
.10r..nocapyrone l
.10r..xylariterpenoid b
.10r.10.r..wentibianthrone c
.10r.10.s..wentibianthrone c
.10r.11r..pterosin l
.10r.17s..dihydroxy..7z.11e.13e.15z.19z..docosapentaenoic acid
.10s..nocapyrone l
.10s..xylariterpenoid a
.10s.10.apos.r..wentibianthrone a
.10s.10.apos.s..wentibianthrone a
.10s.11s..pterosin c
.10z..6.10.bis.hydroxymethyl..3.methylene.2.oxo.2.3.3a.4.5.6.7.8.9.11a.decahydrocyclodeca.b.furan.4.yl methacrylate
.10z..heptadecenoic acid
.10z..nonadec.10.enoic acid
.10z.12e..carnemycin b
.10z.13z.16z..docosatrienoic acid
.10z.13z.16z.19z.22z..octacosapentaenoic acid
.10z.13z.16z.19z.22z.25z..octacosahexaenoic acid
.10z.14e.16e..10.14.16.octadecatrien.12.ynoic acid
.10.s..verruculide b
.11..cytochalasa.6.13.19.triene.1.21.dione.17.hydroxy.16.18.dimethyl.10.phenyl..6z. 13e.16s..17r..18s..19e.
.11.c.choline chloride
.11.c.modified compound
.11e..13.hydroxy.10.oxo.11.octadecenoic acid
.11e..delta.11..fatty acyl.coa.4..
.11e.15z..9.10.13.trihydroxyoctadeca.11.15.dienoic acid
.11r..11.hydroperoxylinoleic acid
.11r..11.hydroxylauric acid
.11r..dihydroartemisinic aldehyde
.11r..hydroxymethyl carlactonoate
.11r..methyl carlactonoate
.11s..11.hydroperoxylinoleic acid
.11s.12s.13r..11.13.dihydroxy.12.methyltetradecanoic acid
.11z..delta.11..fatty acyl.coa.4..
.11z..icos.11.enoic acid
.11z..icos.11.enoyl group
.11z..icosenoyl.containing glycerolipid
.11z.14z..icosadienoic acid
.11z.14z..icosadienoyl group
.11z.14z..icosadienoyl.containing glycerolipid
.11z.14z.17z..icosatrienoyl group
.11z.14z.17z..icosatrienoyl.containing glycerolipid
.11z.14z.17z.20z..hexacosatetraenoic acid
.11z.14z.17z.20z.23z..hexacosapentaenoic acid
.12..13..methyltetradecanoic acid
.12e..9.hydroxy.10.oxo.12.octadecenoic acid
.12e.15s.18s..15.hydroxy.18.bromo.12.16.17.octadecatrienoic acid
.12r..12.hydroxytridecanoic acid
.12r..15.amino.13...2...4.amino.4.carboxy.1.hydroxybutylidene.amino..2...carboxymethyl..c.hydroxycarbonimidoyl.ethyl.sulfanyl..3.7.12.trihydroxy.4.4.6.8.12.16.hexamethyl.17..2.methyl.1.3.thiazol.4.yl..5.oxoheptadec.16.enoic acid
.12r..hydroxy.10.11.dihydroleukotriene e4
.12r..hydroxy.10.11.dihydroleukotriene e4.1..
.12rs...8e.10e..12.hydroxy.7.oxo.8.10.octadecadienoic acid
.12s..hydroperoxy..14r.15s..epoxy..5z.8z.10e..icosatrienoic acid
.12s..hydroperoxy..14s.15r..epoxy..5z.8z.10e..icosatrienoic acid
.12s.15s..15.o.demethyl.10.29.dideoxy.11.12.dihydro.striatin c
.12z..10.hydroxyoctadec.12.enoic acid
.12z..9.10.11.trihydroxyoctadec.12.enoic acid
.12z.15z.18z.21z.24z..2.hydroxytriacontapentaenoic acid
.12z.15z.18z.21z.24z..triacontapentaenoic acid
.12z.15z.18z.21z.24z.27z..triacontahexaenoic acid
.13.c.modified compound
.13.n.modified compound
.13e..16.carboxy.delta.13..17.18.19.20.tetranor.leukotriene e4
.13e..octadecenoic acid
.13r..13.hydroxymyristic acid
.13r..diaporphthalide a
.13r..hydroxy..14s.15s..epoxyicosa..5z.8z.11z..trienoic acid
.13r..manoyl oxide
.13r..s.cysteinyl..14s..hydroxy..4z.7z.9e.11e.16z.19z..docosahexaenoic acid
.13r..s.cysteinylglycinyl..14s..hydroxy..4z.7z.9e.11e.16z.19z..docosahexaenoic acid
.13r..s.glutathionyl..14s..hydroxy..4z.7z.9e.11e.16z.19z..docosahexaenoic acid
.13r.14s..dihydroxy..4z.7z.9e.11e.16z.19z..docosahexaenoic acid
.13s..12.13.epoxyoctadeca.9.11.dienoic acid
.13s..13.hydroxyoctadeca.9.11.dienoic acid
.13s..hydroxy..14s.15s..epoxy..5z.8z.11z..icosatrienoic acid
.13s..vitexifolin a
.13s.14s..epoxy..4z.7z.9e.11e.16z.19z..docosahexaenoic acid
.13z..3.hydroxy.2....2s..2.hydroxytetradecanoyl.amino.icos.13.en.1.yl alpha.d.man..1..gt.2..alpha.d.gal..1..gt.6..alpha.d.glcn..1..gt.4..alpha.d.glca
.13z..8.hydroxyoctadecene.9.11.diynoic acid
.13z..octadecenoic acid
.13z.15r.18r..15.hydroxy.18.bromo.13.16.17.octadecatrienoic acid
.13z.16z..docosadienoic acid
.13z.16z.19z..docosatrienoic acid
.13z.16z.19z.22z..2.hydroxyoctacosatetraenoic acid
.13z.16z.19z.22z..octacosatetraenoic acid
.13z.16z.19z.22z.25z..octacosapentaenoic acid
.14..15..methylhexadecanoic acid
.14.c.modified compound
.14r..14.hydroxypentadecanoic acid
.14rs...10e.12e..14.hydroxy.9.oxo.10.12.octadecadienoic acid
.14s..14.15.dihydroxy.8.17..13.16..labdadien.19.oic acid
.14s.16s.2r.3e.5e.12s.13e..84.chloro.14.85.dihydroxy.2.methoxy.6.13.15.trimethyl.12.10.dioxo.9.aza.1.4.6..oxazinana.8.1.3..benzenacyclopentadecaphane.3.5.13.trien.12.yl methylcarbamate
.14z..hexadecenoic acid
.14z.17z.20z.23z.26z..2.hydroxydotriacontapentaenoic acid
